#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;NaN
1,0;2,0;NaN
2,0;3,0;NaN
3,0;4,0;NaN
4,0;5,0;NaN
5,0;6,0;NaN
6,0;7,0;NaN
7,0;8,0;NaN
8,0;9,0;NaN
9,0;10,0;NaN
10,0;11,0;NaN
11,0;12,0;NaN
12,0;13,0;NaN
13,0;14,0;NaN
14,0;15,0;NaN
15,0;16,0;NaN
16,0;17,0;NaN
17,0;18,0;NaN
18,0;19,0;NaN
19,0;20,0;NaN
20,0;21,0;NaN
21,0;22,0;NaN
22,0;23,0;NaN
23,0;24,0;NaN
24,0;25,0;NaN
25,0;26,0;NaN
26,0;27,0;NaN
27,0;28,0;NaN
28,0;29,0;NaN
29,0;30,0;NaN
30,0;31,0;NaN
31,0;32,0;NaN
32,0;33,0;NaN
33,0;34,0;NaN
34,0;35,0;NaN
35,0;36,0;NaN
36,0;37,0;NaN
37,0;38,0;NaN
38,0;39,0;NaN
39,0;40,0;NaN
40,0;41,0;NaN
41,0;42,0;NaN
42,0;43,0;NaN
43,0;44,0;NaN
44,0;45,0;NaN
45,0;46,0;NaN
46,0;47,0;NaN
47,0;48,0;NaN
48,0;49,0;NaN
49,0;50,0;NaN
50,0;51,0;NaN
51,0;52,0;NaN
52,0;53,0;NaN
53,0;54,0;NaN
54,0;55,0;NaN
55,0;56,0;NaN
56,0;57,0;NaN
57,0;58,0;NaN
58,0;59,0;NaN
59,0;60,0;NaN
60,0;61,0;NaN
61,0;62,0;NaN
62,0;63,0;NaN
63,0;64,0;NaN
64,0;65,0;NaN
65,0;66,0;NaN
66,0;67,0;NaN
67,0;68,0;NaN
68,0;69,0;NaN
69,0;70,0;NaN
70,0;71,0;NaN
71,0;72,0;NaN
72,0;73,0;NaN
73,0;74,0;NaN
74,0;75,0;NaN
75,0;76,0;NaN
76,0;77,0;NaN
77,0;78,0;NaN
78,0;79,0;NaN
79,0;80,0;NaN
