#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,131277152919221
1,5;0,08023718984217444
2,5;0,008157163353968716
3,5;0,014819348430272808
4,5;0,014468179036190515
5,5;0,010013344436975127
6,5;0,06817702950826252
7,5;0,10710666519509968
8,5;0,06724392226112956
9,5;0,055434597208704986
10,5;0,0030401236116267168
11,5;0,04366540580131839
12,5;0,05308677897398337
13,5;0,11941766081049897
14,5;0,07085595031454744
15,5;0,056668706793622764
16,5;0,038508232413938415
17,5;3,311025715633058E-4
18,5;0,038337664422527014
19,5;0,019153782094374266
20,5;0,0
21,5;0,0
22,5;0,0
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
