#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting time/customer (lag=0);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;1.5126886400000066;1.0000000000000042
waiting time/customer (lag=1);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;1.255785718974365;0.8301680106319598
waiting time/customer (lag=2);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;1.0523296585553832;0.6956683819317787
waiting time/customer (lag=3);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.8771583053376255;0.5798670540274734
waiting time/customer (lag=4);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.7529525838325312;0.4977578094541194
waiting time/customer (lag=5);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.6349500696774218;0.41974934754413284
waiting time/customer (lag=6);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.5375679028109877;0.3553724729571497
waiting time/customer (lag=7);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.45766993605178097;0.3025539585276325
waiting time/customer (lag=8);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.38546371008103714;0.25482025837189937
waiting time/customer (lag=9);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.30668278857142856;0.20274019415616717
waiting time/customer (lag=10);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.21626355512195192;0.1429663378194946
waiting time/customer (lag=11);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.18418171830618937;0.12175785117695426
waiting time/customer (lag=12);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.14562392117455172;0.09626827182000368
waiting time/customer (lag=13);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.11184207895424854;0.0739359548269289
waiting time/customer (lag=14);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.05503640091653018;0.0363831653528714
waiting time/customer (lag=15);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;0.027552671475409712;0.018214370589449067
waiting time/customer (lag=16);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;-0.044356291888341864;-0.0293228168146631
waiting time/customer (lag=17);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;-0.09543074526315855;-0.0630868393796879
waiting time/customer (lag=18);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;-0.1300434999670515;-0.0859684514898264
waiting time/customer (lag=19);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;-0.1565196631023107;-0.10347116978568084
waiting time/customer (lag=20);625;0.9056;1.5151128205128208;1.2308991918564334;1.3592084715729167;0.0;6.0;-0.12192632595041393;-0.0806023941254784
