#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,22532253225322532
1,0;2,0;0,10951095109510951
2,0;3,0;0,09550955095509552
3,0;4,0;0,0851085108510851
4,0;5,0;0,07260726072607261
5,0;6,0;0,0661066106610661
6,0;7,0;0,054605460546054606
7,0;8,0;0,0463046304630463
8,0;9,0;0,043604360436043606
9,0;10,0;0,030703070307030702
10,0;11,0;0,029802980298029802
11,0;12,0;0,0251025102510251
12,0;13,0;0,019101910191019103
13,0;14,0;0,0168016801680168
14,0;15,0;0,0087008700870087
15,0;16,0;0,0056005600560056
16,0;17,0;0,0037003700370037006
17,0;18,0;0,0056005600560056
18,0;19,0;0,012601260126012601
19,0;20,0;0,006200620062006201
20,0;21,0;0,0024002400240024004
21,0;22,0;0,0019001900190019003
22,0;23,0;0,0028002800280028
23,0;24,0;0,003000300030003
24,0;25,0;0,0011001100110011
25,0;26,0;7,000700070007E-4
26,0;27,0;0,002000200020002
27,0;28,0;0,005700570057005701
28,0;29,0;0,004100410041004101
29,0;30,0;0,004800480048004801
30,0;31,0;0,0027002700270027003
31,0;32,0;0,0014001400140014
32,0;33,0;2,0002000200020003E-4
33,0;34,0;4,0004000400040005E-4
34,0;35,0;8,000800080008001E-4
35,0;36,0;4,0004000400040005E-4
36,0;37,0;1,0001000100010001E-4
37,0;38,0;1,0001000100010001E-4
38,0;39,0;0,0021002100210021
39,0;40,0;7,000700070007E-4
40,0;41,0;0,0
41,0;42,0;0,0
42,0;43,0;0,0
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
