#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,13924850015787812
1,5;0,07751815598358068
2,5;0,07893905904641617
3,5;0,06409851594568992
4,5;0,05983580675718345
5,5;0,05478370697821282
6,5;0,05825702557625513
7,5;0,04657404483738554
8,5;0,04467950742027155
9,5;0,04183770129460057
10,5;0,036785601515629936
11,5;0,03457530786233028
12,5;0,025260498894853173
13,5;0,02904957372908115
14,5;0,02494474265866751
15,5;0,023997473950110516
16,5;0,02083991158825387
17,5;0,017998105462582886
18,5;0,01484054310072624
19,5;0,009788443321755604
20,5;0,009314808967477108
21,5;0,008999052731291443
22,5;0,006315124723713293
23,5;0,003315440479949479
24,5;0,0034733185980423114
25,5;0,001894537417113988
26,5;0,003946952952320808
27,5;0,0050520997789706345
28,5;0,0022102936532996525
29,5;0,004104831070413641
30,5;0,003946952952320808
31,5;0,0031575623618566467
32,5;0,0017366592990211557
33,5;0,0025260498894853173
34,5;0,00268392800757815
35,5;0,002368171771392485
36,5;0,0017366592990211557
37,5;4,73634354278497E-4
38,5;7,893905904641617E-4
39,5;0,001420903062835491
40,5;0,0011051468266498263
41,5;0,001420903062835491
42,5;0,0015787811809283233
43,5;0,0011051468266498263
44,5;0,0022102936532996525
45,5;0,0022102936532996525
46,5;0,00268392800757815
47,5;0,0015787811809283233
48,5;0,0017366592990211557
49,5;0,002368171771392485
50,5;0,001420903062835491
51,5;0,003946952952320808
52,5;0,0015787811809283233
53,5;9,47268708556994E-4
54,5;7,893905904641617E-4
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
